Title,Subtitle,Content
Sec. 4-19.,Definitions.,"The following words and phrases, when used in this article, shall, for the purpose
               of this article, have the meanings respectively ascribed to them in this section:

               Applicant means a person who has filed a written application for a special event or parade.

               Carnival means an event that includes amusement activities, rides, merry-go-rounds, booths
               for the conduct of games of skill, food dispensary facilities, and side-shows and/or
               a combination thereof.

               Circus means an event that includes performers, animals or other such means of entertainment
               and is performed in the open, in a tent, or in any other temporary structure, but
               does not include performances held inside a permanent building or on government-owned
               property.

               City-sponsored special event or parade means a special event or parade that the city council, by resolution, has:

                  (1)

                  Declared the city a sponsor or cosponsor of the event; and

                  (2)

                  Committed the city to significantly sharing in planning, initiating, financing, supporting,
                  and conducting the event.

               Committee review means a parade, special event or neighborhood block party application that requires
               evaluation by the special event review committee to determine if city services, permits
               and follow-up inspections will be required.

               Licensee means the applicant/promoter or person to whom the parade or special event permit
               has been issued.

               Neighborhood block party means the use of a residential street for a neighborhood social function where traffic
               control is required.

               Neighborhood block party permit means approval from the city or its designated representative for a social function.

               Nonprofit means not maintained or organized for profit, as recognized by the state and the
               federal tax code.

               Parade means the assembly of three or more persons whose gathering is the common design
               and purpose of traveling or marching in procession from one location to another location
               on a public thoroughfare or right-of-way for the purpose of advertising, promoting,
               celebrating, or commemorating a thing, person, date, or event or point of view on
               political, religious or social issues. Parade shall include runs, walks, relays, marathons,
               or similar events.

               Person means any individual, assumed name entity, partnership, association, corporation
               or other organization.

               Permit means the city's agreement giving the applicant/promoter permission to hold the special
               event, on the terms and conditions stated in the permit and subject to the rules,
               regulations, and requirements of this article.

               Promoter means the person seeking to hold the special event, including the promoter's employees,
               agents, affiliates, successors, permitted assigns, and other persons controlled by
               the promoter.

               Reimbursable costs means all costs and expenses incurred by the city for activities associated with
               staging of the event, including, without limitation, the following:

                  (1)

                  Utilities services provided to the special event, including all of the costs of installation,
                  maintenance, and connection.

                  (2)

                  Barricades and cones.

                  (3)

                  Special event parking.

                  (4)

                  Food services inspection.

                  (5)

                  Repair, maintenance and removal of facilities in the event of a failure of applicant/promoter.

                  (6)

                  Repair of streets, alleys, sidewalks, parks and other public property.

                  (7)

                  Police protection.

                  (8)

                  Fire protection.

                  (9)

                  Emergency medical service.

                  (10)

                  Garbage disposal and cleanup.

                  (11)

                  Traffic control.

                  (12)

                  Other direct costs associated with the special event or parade.

               Sidewalk means that portion of a street intended for the primary use of pedestrians that is
               located between the curb lines, or lateral lines of a roadway, and the adjacent property
               lines.

               Special event means a temporary event or gathering, other than those events defined in this article
               as a neighborhood block party or a parade, using either private or public property,
               including a circus, carnival, fair, or other event, display or sale of objets d'art,
               Christmas tree sales, and/or performance of music or celebration of event on a political,
               religious or social issue which involves one or more of the following activities,
               except when the activity is for construction or house moving purposes only:

                  (1)

                  Closing a public street;

                  (2)

                  Blocking or restriction of public property, limiting the use of parks by the general
                  public, and streets;

                  (3)

                  Offer of merchandise, food, or beverages on public property or on private property
                  where otherwise prohibited by ordinance;

                  (4)

                  Erection of a tent on public property, or on private property where otherwise prohibited
                  by ordinance;

                  (5)

                  Installation of a stage, band shell, trailer, van, portable building, grandstand or
                  bleachers on public property, or on private property where otherwise prohibited by
                  ordinance;

                  (6)

                  Placement of portable toilets on public property, or on private property where otherwise
                  prohibited by ordinance;

                  (7)

                  Placement of temporary no parking signs in a public right-of-way; or

                  (8)

                  A fee or donation is charged for attendance or participation.

               Special event permit coordinator. The city secretary or his/her designee will act as the special events permit coordinator
               and be responsible for reviewing the initial special event or parade application,
               coordinating meetings between the applicant/promoter and city representatives, collecting
               special event permit fees, and enforcing the special events article. The special event
               permit coordinator shall chair the special event review committee.

               Special event/parade permit means approval from the city or its designated representative for a parade or special
               event.

               Special event review committee shall mean a committee consisting of the following representatives: police chief,
               public works director and city secretary and additional city staff as determined by
               the special event permit coordinator upon review of the special event application.
               The special event review committee shall review the parade, special event or neighborhood
               block party application and procure from the applicant/promoter such clarifications
               and additional information necessary for the approval, denial or revocation of the
               permit using the outlines within this article.

               Street means the entire width between the boundary lines of every way publicly maintained,
               when any part is open to the use of the public for purposes of vehicular travel."
Sec. 1-5.,Ordinances are cumulative; more stringent shall apply.,"Each ordinance in this Code is cumulative of and in addition to all other ordinances
               of the city on the same subject. Where Code provisions or ordinances conflict or overlap,
               whichever imposes the more stringent regulations or penalties, as the case may be,
               shall prevail."
Sec. 1-6.,Certain ordinances not affected by Code.,"(a)

               Nothing in this Code or the ordinance adopting this Code affects the validity of any
               ordinance or portion of any ordinance:

               (1)

               Annexing property into the city or describing the corporate limits.

               (2)

               Deannexing property or excluding property from the city.

               (3)

               Promising or guaranteeing the payment of money or authorizing the issuance of bonds
               or other instruments of indebtedness.

               (4)

               Authorizing or approving any contract, deed or agreement.

               (5)

               Granting any specific right or franchise, or establishing the procedure for granting
               a right or franchise.

               (6)

               Making or approving any appropriation or budget.

               (7)

               Providing for the duties of city officers or employees not codified in this Code.

               (8)

               Providing for personnel regulations, salaries or other employee benefits.

               (9)

               Adopting or amending a comprehensive plan.

               (10)

               Levying or imposing any special assessments.

               (11)

               Dedicating, establishing, naming, locating, relocating, opening, paving, widening,
               repairing or vacating any street, sidewalk or alley.

               (12)

               Establishing the grade of any street or sidewalk.

               (13)

               Establishing traffic regulations for specific streets.

               (14)

               Dedicating, accepting or vacating any plat or subdivision.

               (15)

               Not codified in this Code that levies, imposes or otherwise relates to taxes, exemptions
               from taxes and fees in lieu of taxes.

               (16)

               Pertaining to rezoning property.

               (17)

               That is temporary, although general in effect.

               (18)

               That is special, although permanent in effect.

               (19)

               The purpose of which has been accomplished.

               (b)

               The ordinances or portions of ordinances designated in subsection (a) of this section
               continue in full force and effect to the same extent as if published at length in
               this Code."
Sec. 1-7.,Provisions deemed continuation of existing ordinances.,"The provisions of this Code, insofar as they are substantially the same as legislation
               previously adopted by the city relating to the same subject matter, shall be construed
               as restatements and continuations thereof and not as new enactments."
DIVISION 1.,GENERALLY,NULL
Sec. 14-177.,Definitions.,"The following words, terms and phrases, when used in this article, shall have the
               meanings ascribed to them in this section, except where the context clearly indicates
               a different meaning:

               Abandoned motor vehicle means any motor vehicle which:

                  (1)

                  Is inoperable, is more than five years old, and has been left unattended on public
                  property for more than 48 hours;

                  (2)

                  Has remained illegally on public property for more than 48 hours;

                  (3)

                  Has remained on private property without the consent of the owner or person in charge
                  of the property for more than 48 hours;

                  (4)

                  Has been left unattended on the right-of-way of any city street or any designated
                  county, state, or federal highway for more than 48 hours;

                  (5)

                  Has been left unattended for more than 24 hours on the right-of-way of a turnpike
                  project constructed and maintained by the state turnpike authority division of the
                  state department of transportation or controlled access highway; or

                  (6)

                  Is considered an abandoned motor vehicle under V.T.C.A., Transportation Code § 644.153(r).

               Antique vehicle means a passenger car or truck that is at least 25 years old.

               Collector means a person who:

                  (1)

                  Owns one or more antique or special interest vehicles; and

                  (2)

                  Acquires, collects, or disposes of an antique or special interest vehicle or part
                  of an antique or special interest vehicle for personal use to restore and preserve
                  an antique or special interest vehicle for historic interest.

               Demolisher means any person whose business is to convert a motor vehicle into processed scrap
               or scrap metal, or otherwise to wreck or dismantle motor vehicles.

               In ordinary public view means that the vehicle or part thereof or the tarp or cover thereon is visible from
               any public right-of-way, or adjacent land, or the first floor level of a building
               thereon which is owned or occupied by a person other than the owner or occupant of
               the property on which the junked vehicle or part thereof is located or parked.

               Junked vehicle means a vehicle that is self-propelled and:

                  (1)

                  Displays an expired license plate or invalid motor vehicle inspection certificate
                  or does not display a license plate or motor vehicle inspection certificate; and

                  (2)

                  Is:

                  a.

                  Wrecked, dismantled or partially dismantled, or discarded; or

                  b.

                  Inoperable and has remained inoperable for more than:

                  1.

                  72 consecutive hours, if the vehicle is on public property; or

                  2.

                  30 consecutive days, if the vehicle is on private property.

               Motor vehicle means a vehicle that is subject to registration under V.T.C.A., Transportation Code
               ch. 501.

               Special interest vehicle means a motor vehicle of any age that has not been changed from original manufacturer's
               specifications and, because of its historic interest, is being preserved by a hobbyist.

               (Code 2008, § 94.01; Ord. No. 99-036, 5-24-1999; Ord. No. 99-045, 8-23-1999; Ord.
               No. 2011-036, § 1, 9-19-2011;
               
                  Ord. No. 2017-015, § 1, 9-18-2017
                  
               )"
Sec. 1-8.,"Code does not affect prior offenses, rights, etc.","(a)

               Nothing in this Code or the ordinance adopting this Code affects any offense or act
               committed or done, any penalty or forfeiture incurred, or any contract or right established
               before the effective date of this Code.

               (b)

               The adoption of this Code does not authorize any use or the continuation of any use
               of a structure or premises in violation of any city ordinance on the effective date
               of this Code."
Sec. 1-9.,Repeal of ordinances.,"The repeal of an ordinance or any portion thereof shall not repeal the repealing clause
               of an ordinance or revive any ordinance which has been previously repealed."
Sec. 1-10.,Amendments or additions to Code.,"All ordinances of a general and permanent nature, and amendments to such ordinances,
               hereinafter enacted or presented to the city council for enactment, shall be drafted,
               so far as possible, as specific amendments of, or additions to, the Code of Ordinances.
               Amendments to this Code shall be made by reference to the chapter and section of the
               Code which is to be amended, and additions shall bear an appropriate designation of
               chapter, article, division, subdivision, and section; provided, however, the failure
               so to do shall in no way affect the validity or enforceability of such ordinances."
Chapter 2,ADMINISTRATION,"Footnotes:  --- (1) ---
            
            State Law reference— 
               Type A general law municipality, V.T.C.A., Local Government Code §§ 5.001, 6.001 et
               seq.; provisions and powers of Type A general law municipalities, V.T.C.A., Local
               Government Code §§ 51.011—51.018; Type A municipality may adopt necessary ordinances
               not inconsistent with state law, V.T.C.A., Local Government Code § 51.012."
ARTICLE I.,IN GENERAL,NULL
Sec. 2-1.,Type A general-law municipality.,"The city accepts the provisions of V.T.C.A., Local Government Code, ch. 6 (formerly title 28, chapters 1-10, Revised Civil Statutes of the State of Texas, as amended), regarding adoption of
               the Type A general-law form of government.

               (Code 2008, § 30.01)"
Sec. 2-58.,Meetings to be recorded.,"The city council shall tape record all meetings and keep copies of said tapes at city
               hall in accordance with provisions of Texas Open Records Act. City commissions and
               committees shall either tape record or keep written minutes of all meetings and keep
               copies of said minutes and/or tapes in accordance with provisions of Texas Open Records
               Act, V.T.C.A., Government Code ch. 552.

               (Code 2008, § 31.21)"
Secs. 16-71—16-96.,Reserved.,NULL
Sec. 1-11.,Supplementation of Code.,"(a)

               By contract or by city personnel, supplements to this Code shall be prepared and printed
               whenever authorized or directed by the city council. A supplement to the Code shall
               include all substantive permanent and general parts of ordinances passed by the city
               council or adopted by initiative and referendum during the period covered by the supplement
               and all changes made thereby in the Code. The pages of a supplement shall be numbered
               so they will fit properly into the Code and will, where necessary, replace pages which
               have become obsolete or partially obsolete, and the new pages shall be so prepared
               that, when they have been inserted, this Code will be current through the date of
               the adoption of the latest ordinance included in the supplement.

               (b)

               In preparing a supplement to this Code, all portions of the Code which have been repealed
               shall be removed from the Code.

               (c)

               When preparing a supplement to this Code, the codifier (meaning the person, agency
               or organization authorized to prepare the supplement) may make formal, nonsubstantive
               changes in ordinances and parts of ordinances included in the supplement, insofar
               as it is necessary to do so to embody them into a unified code. For example, the codifier
               may:

               (1)

               Organize the ordinance material into appropriate divisions;

               (2)

               Provide appropriate catchlines for all divisions of this Code printed in the supplement,
               and make changes in such catchlines;

               (3)

               Assign appropriate numbers to sections and other divisions to be inserted in this
               Code, and where necessary to accommodate new material, change existing section or
               other division numbers;

               (4)

               Change the words ""this ordinance"" or words of the same meaning to ""this chapter,""
               ""this article,"" ""this section,"" etc., as the Code may be, or to ""sections _____ to
               _____"" (inserting section numbers to indicate the sections of the Code which embody
               the substantive sections of the ordinance incorporated into the Code); and

               (5)

               Make other nonsubstantive changes necessary to preserve the original meaning of ordinance
               sections inserted into the Code;

               but, in no case, shall the codifier make any changes in the meaning or effect of ordinance
               material included in the supplement or already embodied in the Code."
Sec. 2-77.,Introduction and action on ordinances.,"All ordinances and resolutions shall be in writing and shall be introduced by a member
               of the city council at an open meeting of the city council. It shall only be necessary
               to provide a brief explanation and read the caption of the ordinance or resolution
               unless a motion is made by any councilmember to read the entire ordinance or resolution.
               An ordinance must be adopted by a majority vote, unless otherwise required by other
               provisions of this Code or state law.

               (Code 2008, § 31.03)"
Sec. 1-12.,General penalty for violations of Code; continuing violations.,"(a)

               Whenever in this Code or any other ordinance of the city, an act is prohibited or
               is made or declared to be unlawful or an offense or a misdemeanor, or wherever in
               such Code or ordinance the doing of an act is required or the failure to do any act
               is declared to be unlawful, and no specific penalty is provided therefor, the violation
               of any such provision of this Code or any such ordinance shall be punished by a fine
               not exceeding $500.00, except for:

               (1)

               Violations of municipal ordinances that govern fire, safety, zoning, public health
               and sanitation, including dumping of refuse, vegetation and litter violations in which
               the maximum fine shall be $2,000.00 for each offense; and

               (2)

               Violations of traffic laws which are punishable as a Class C misdemeanor shall be
               punished by a fine not to exceed $200.00.

               However, no penalty shall be greater or lesser than the penalty provided for the same
               or similar offense under the laws of the state.

               (b)

               Each day any violation of this Code or of any ordinance shall continue shall constitute
               a separate offense. Any violation of any provision of this Code of Ordinances which
               constitutes an immediate danger to the health, safety, and welfare of the public may
               be enjoined in a suit brought by the city for such purposes.

               (c)

               Unless otherwise specifically stated within the provisions of this Code, any violation
               of this Code or of any ordinance set forth herein that is punishable by a fine that
               does not exceed $500.00 does not require a culpable mental state, and a culpable mental
               state is hereby not required to prove any such offense.

               (d)

               Unless otherwise specifically stated within the provisions of this Code, any violation
               of this Code or of any ordinance set forth herein that is punishable by a fine that
               exceeds $500.00 shall require a culpable mental state of intentionally, knowingly,
               recklessly, or with criminal negligence.

               (e)

               In any prosecution in the municipal court of the city or of any other court of competent
               jurisdiction, a complaint charging a violation of this Code need not negate the existence
               of any affirmative defense but the existence of such may be raised by the defendant
               in any such prosecution by way of defense as provided in the state penal code.

               (f)

               A complaint charging a violation of any provision of this Code in the municipal court
               of the city or any other court of competent jurisdiction need not negative the existence
               of any exception but the existence of the same may be raised by the defendant in such
               prosecution by way of defense.

               (g)

               Whenever a corporation or association violates any provisions of this Code or other
               ordinance of the city, the president, vice-president, secretary, treasurer, manager,
               or any agent or employee of such corporation or association shall be severally liable
               for the penalty prescribed for such violation.

            State Law reference— 
               Limitation on penalties, V.T.C.A., Local Government Code § 54.001; punishments, V.T.C.A.,
               Penal Code ch. 12."
